         33841 function calls (33739 primitive calls) in 80.793 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.047    0.047 extraction.py:103(basic_rotations)
      273    0.036    0.000    0.047    0.000 function_base.py:2945(add_newdoc)
       24    0.045    0.002    0.045    0.002 {method 'items' of 'dict' objects}
        2    0.045    0.023    0.04         20013 function calls (19911 primitive calls) in 80.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.035    0.035   80.555   80.555 mainprocess.py:1(<module>)
        1    0.001    0.001   79.396   79.396 extraction.py:515(get_all_fragments)
        9    0.013    0.001   79.342    8.816 extraction.py:277(get_fragment)
        9    0.002    0.000   78.645    8.738 __init__.py:227(Pool)
        9    0.006    0.001   78.636    8.737 pool.py:136(__init__)
        9    0.015    0.002   78.502    8.722 pool.py:210(_repopulate_pool)
       33    0.036    0.001   78.468    2.378 process.py:116(start)
       33    0.010    0.000   78.406    2.376 forking.py:116(__init__)
        1    0.309    0.309   78.080   78.080 process.py:241(_bootstrap)
        1    0.000    0.000   71.680   71.680 process.py:109(run)
        1    0.000    0.000   71.680   71.680 pool.py:88(worker)
        2    0.009    0.004   71.663   35.832 queues.py:373(get)
        2   71.623   35.812   71.623   35.812 {method 'recv' of '_multiprocessing.Connection' objects}
        1    0.000    0.000    5.997    5.997 traceback.py:225(print_exc)
        1    0.000    0.000    5.997    5.997 traceback.py:110(print_exception)
        1    0.001    0.001    5.996    5.996 traceback.py:46(print_tb)
        7    0.000    0.000    5.977    0.854 traceback.py:12(_print)
        8    5.977    0.747    5.977    0.747 {method 'write' of 'file' objects}
        1    0.334    0.334    0.798    0.798 preprocessing.py:1(<module>)
       32    0.003    0.000    0.586    0.018 threading.py:309(wait)
      202    0.583    0.003    0.583    0.003 {method 'acquire' of 'thread.lock' objects}
        8    0.000    0.000    0.576    0.072 pool.py:246(map)
        8    0.000    0.000    0.570    0.071 pool.py:551(get)
        8    0.000    0.000    0.570    0.071 pool.py:543(wait)
        1    0.010    0.010    0.463    0.463 __init__.py:106(<module>)
       33    0.295    0.009    0.306    0.009 {posix.fork}
        3    0.037    0.012    0.291    0.097 __init__.py:1(<module>)
        1    0.002    0.002    0.226    0.226 add_newdocs.py:10(<module>)
        1    0.007    0.007    0.168    0.168 __init__.py:15(<module>)
        1    0.162    0.162    0.162    0.162 {imread}
        1    0.002    0.002    0.113    0.113 type_check.py:3(<module>)
       57    0.008    0.000    0.097    0.002 extraction.py:619(get_singular_energy)
        1    0.000    0.000    0.092    0.092 util.py:294(_exit_function)
        2    0.043    0.021    0.092    0.046 util.py:250(_run_finalizers)
        1    0.004    0.004    0.073    0.073 preprocessing.py:86(get_contour)
        9    0.001    0.000    0.067    0.007 pool.py:232(_setup_queues)
       18    0.001    0.000    0.062    0.003 queues.py:350(__init__)
        2    0.014    0.007    0.050    0.025 __init__.py:44(<module>)
        1    0.000    0.000    0.050    0.050 preprocessing.py:72(get_edged)
       57    0.003    0.000    0.050    0.001 extraction.py:80(get_second_singular)
       24    0.049    0.002    0.049    0.002 {method 'items' of 'dict' objects}
       18    0.002    0.000    0.048    0.003 __init__.py:102(Pipe)
        1    0.000    0.000    0.047    0.047 extraction.py:103(basic_rotations)
       57    0.034    0.001    0.047    0.001 linalg.py:1225(svd)
      273    0.036    0.000    0.047    0.000 function_base.py:2945(add_newdoc)
        1    0.044    0.044    0.044    0.044 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.005    0.003    0.044    0.022 connection.py:35(<module>)
       57    0.038    0.001    0.040    0.001 extraction.py:72(get_total_energy_of_block)
        1    0.000    0.000    0.039    0.039 preprocessing.py:165(get_perspective)
        1    0.002    0.002    0.036    0.036 extraction.py:1(<module>)
        1    0.003    0.003    0.034    0.034 __init__.py:7(<module>)
        6    0.000    0.000    0.032    0.005 string.py:148(substitute)
        6    0.024    0.004    0.032    0.005 {method 'sub' of '_sre7    0.027    0.027 numeric.py:1(<module>)
       17    0.000    0.000    0.027    0.002 extraction.py:619(get_singular_energy)
        1    0.007    0.007    0.027    0.027 __init__.py:38(<module>)
       14    0.001    0.000    0.027    0.002 sre_compile.py:567(compile)
       15    0.000    0.000    0.027    0.002 re.py:192(compile)
        1    0.021    0.021    0.027    0.027 hermite.py:59(<module>)
        1    0.021    0.021    0.026    0.026 legendre.py:83(<module>)
