         55031 function calls (53739 primitive calls) in 5.647 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      485    0.004    0.000    0.005    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.005    0.005 util.py:1(<module>)
       82    0.001    0.000    0.005    0.000 {all}
        1    0.002    0.002    0.005    0.005 io.py:34(<module>)
        1    0.004    0.004    0.005    0.005 multiprocessing.py:67(<module>)
        1    0.000    0.000    0.005    0.005 numbers.py:6(<module>)
      839    0.003    0.000    0.005    0.000 sre_parse.py:135(__len__)
       88    0.004    0.000    0.005    0.000 __init__.py:382(__getitem__)
      834    0.005    0.000    0.005    0.000 {method 'readline' of 'file' objects}
        1    0.002    0.002    0.004    0.004 threading.py:1(<module>)
      165    0.004    0.000    0.004    0.000 {_ctypes.POINTER}
      181    0.002    0.000    0.004    0.000 sre_compile.py:428(_simple)
      114    0.001    0.000    0.004    0.000 {sum}
        1    0.001    0.001    0.004    0.004 loader.py:1(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:71(search_function)
      880    0.004    0.000    0.004    0.000 {min}
      341    0.004    0.000    0.004    0.000 {method 'format' of 'str' objects}
        2    0.003    0.001    0.004    0.002 process.py:35(<module>)
        1    0.000    0.000    0.004    0.004 camera.py:438(_init_camera)
      148    0.004    0.000    0.004    0.000 _weakrefset.py:36(__init__)
      108    0.001    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.003    0.003    0.004    0.004 __init__.py:36(<module>)
      559    0.003    0.000    0.004    0.000 sre_parse.py:147(append)
        1    0.000    0.000    0.003    0.003 mmalobj.py:1340(__init__)
      698    0.003    0.000    0.003    0.000 collections.py:332(<genexpr>)
        1    0.002    0.002    0.003    0.003 defmatrix.py:1(<module>)
       72    0.001    0.000    0.003    0.000 abc.py:128(__instancecheck__)
      850    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.003    0.003 mimetypes.py:64(__init__)
      570    0.003    0.000    0.003    0.000 mmal.py:74(<genexpr>)
     1736    0.003    0.000    0.003    0.000 {chr}
     1012    0.003    0.000    0.003    0.000 {range}
       35    0.002    0.000    0.003    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.003    0.003 renderers.py:514(close)
        1    0.001    0.001    0.003    0.003 numerictypes.py:301(_add_aliases)
       29    0.001    0.000    0.003    0.000 fractions.py:68(__new__)
        1    0.000    0.000    0.003    0.003 mmalobj.py:1474(close)
        1    0.002    0.002    0.003    0.003 runner.py:1(<module>)
        1    0.002    0.002    0.003    0.003 connection.py:32(<module>)
        1    0.001    0.001    0.003    0.003 dis.py:1(<module>)
      100    0.001    0.000    0.003    0.000 _weakrefset.py:58(__iter__)
        1    0.002    0.002    0.003    0.003 ppauto.py:30(<module>)
        3    0.002    0.001    0.003    0.001 numeric.py:365(extend_all)
       40    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
        4    0.001    0.000    0.002    0.001 ssl.py:111(_import_symbols)
        1    0.000    0.000    0.002    0.002 mmalobj.py:1469(disconnect)
        9    0.002    0.000    0.002    0.000 __init__.py:78(CFUNCTYPE)
        4    0.001    0.000    0.002    0.001 _pyio.py:43(open)
        1    0.002    0.002    0.002    0.002 parallel.py:86(<module>)
        1    0.002    0.002    0.002    0.002 mmalobj.py:1282(close)
        1    0.001    0.001    0.002    0.002 extras.py:10(<module>)
        2    0.000    0.000    0.002    0.001 mmalobj.py:1478(_set_enabled)
        1    0.000    0.000    0.002    0.002 py3k.py:71(sixu)
        1    0.001    0.001    0.002    0.002 ctypeslib.py:51(<module>)
        1    0.001    0.001    0.002    0.002 array.py:30(<module>)
       32    0.002    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.001    0.001    0.002    0.002 camera.py:114(PiCamera)
       90    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      561    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
        1    0.002    0.002    0.002    0.002 fromnumeric.py:3(<module>)
       19    0.001    0.000    0.002    0.000 nosetester.py:511(_numpy_tester)
        1    0.000    0.000    0.002    0.002 {method 'decode' of 'str' objects}
        9    0.000    0.000    0.002    0.000 genericpath.py:26(isfile)
        1    0.002    0.002    0.002    0.002 detect.py:9(<module>)
