         11571 function calls (11450 primitive calls) in 1.669 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.001    0.000    0.001    0.000 numerictypes.py:443(_add_array_type)
        1    0.001    0.001    0.001    0.001 numerictypes.py:781(_construct_lookups)
        1    0.001    0.001    0.001    0.001 polyutils.py:45(<module>)
        1    0.001    0.001    0.001    0.001 defchararray.py:17(<module>)
      268    0.001    0.000    0.001    0.000 {numpy.core.multiarray.add_docstring}
        3    0.001    0.000    0.001    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.001    0.001    0.001    0.001 runner.py:119(TextTestRunner)
        1    0.001    0.001    0.001    0.001 suite.py:1(<module>)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
        1    0.001    0.001    0.001    0.001 hermite_e.py:1789(HermiteE)
       72    0.001    0.000    0.001    0.000 numerictypes.py:127(english_lower)
       21    0.000    0.000    0.001    0.000 sre_compile.py:428(_simple)
       18    0.000    0.000    0.001    0.000 core.py:938(__init__)
        1    0.001    0.001    0.001    0.001 records.py:36(<module>)
        1    0.001    0.001    0.001    0.001 _import_tools.py:1(<module>)
        1    0.001    0.001    0.001    0.001 stride_tricks.py:15(DummyArray)
        1    0.001    0.001    0.001    0.001 _datasource.py:35(<module>)
        5    0.000    0.000    0.001    0.000 {map}
        1    0.000    0.000    0.001    0.001 core.py:2659(MaskedArray)
       85    0.000    0.000    0.001    0.000 sre_parse.py:135(__len__)
       19    0.000    0.000    0.001    0.000 posixpath.py:127(dirname)
       21    0.001    0.000    0.001    0.000 numerictypes.py:216(_evalname)
        1    0.000    0.000    0.001    0.001 numbers.py:34(Complex)
       75    0.001    0.000    0.001    0.000 _inspect.py:133(strseq)
        2    0.001    0.000    0.001    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 threading.py:1090(__init__)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
      343    0.000    0.000    0.000    0.000 {globals}
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       16    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       66    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 numerictypes.py:428(_construct_char_code_lookup)
       13    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       35    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        8    0.000    0.000    0.000    0.000 {all}
       79    0.000    0.000    0.000    0.000 {range}
      154    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
       39    0.000    0.000    0.000    0.000 numerictypes.py:154(english_upper)
       80    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
      115    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       44    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
      117    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:225(isname)
       26    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       13    0.000    0.000    0.000    0.000 numerictypes.py:181(english_capitalize)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
       31    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      125    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:656(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:117(deprecate)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
       49    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       46    0.000    0.000    0.000    0.000 collections.py:332(<genexpr>)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        6    0.000    0.000    0.000    0.000 core.py:1096(__init__)
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        1    0.000    0.000    0.000    0.000 defchararray.py:1669(chararray)
       11    0.000    0.000    0.000    0.000 sre_parse.py:266(_escape)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
      148    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
       40    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:379(_set_up_aliases)
       31    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        9    0.000    0.000    0.000    0.000 core.py:2504(__init__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:295(Integral)
        8    0.000    0.000    0.000    0.000 collections.py:358(<genexpr>)
       46    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        6    0.000    0.000    0.000    0.000 hashlib.py:100(__get_openssl_constructor)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        2    0.000    0.000    0.000    0.000 utils.py:73(__call__)
       18    0.000    0.000    0.000    0.000 {_struct.calcsize}
       21    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:640(Thread)
        1    0.000    0.000    0.000    0.000 numbers.py:169(Real)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:19(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
       60    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 {hasattr}
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
        5    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        2    0.000    0.000    0.000    0.000 numeric.py:2478(seterr)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 os.py:496(__delitem__)
       46    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        8    0.000    0.000    0.000    0.000 collections.py:356(<genexpr>)
        9    0.000    0.000    0.000    0.000 core.py:2510(getdoc)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 defmatrix.py:208(matrix)
       19    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:2869(__enter__)
        1    0.000    0.000    0.000    0.000 numeric.py:2880(_setdef)
       20    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        3    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       24    0.000    0.000    0.000    0.000 sre_parse.py:219(isident)
        1    0.000    0.000    0.000    0.000 financial.py:10(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       13    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:270(max)
        1    0.000    0.000    0.000    0.000 decorators.py:15(<module>)
       21    0.000    0.000    0.000    0.000 {sys._getframe}
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:222(_ctypes)
        5    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        5    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       21    0.000    0.000    0.000    0.000 sre_parse.py:143(__setitem__)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2017(Chebyshev)
        9    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 legendre.py:1769(Legendre)
        1    0.000    0.000    0.000    0.000 arraysetops.py:26(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1792(Hermite)
        1    0.000    0.000    0.000    0.000 info.py:86(<module>)
        4    0.000    0.000    0.000    0.000 core.py:86(doc_note)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1741(Laguerre)
        1    0.000    0.000    0.000    0.000 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 threading.py:400(notifyAll)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        2    0.000    0.000    0.000    0.000 {posix.unsetenv}
       15    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 core.py:6016(MaskedConstant)
        1    0.000    0.000    0.000    0.000 extras.py:1429(__init__)
        8    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 polynomial.py:939(poly1d)
        1    0.000    0.000    0.000    0.000 tempfile.py:505(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 numeric.py:2874(__exit__)
        1    0.000    0.000    0.000    0.000 core.py:5833(mvoid)
        1    0.000    0.000    0.000    0.000 _iotools.py:250(NameValidator)
        1    0.000    0.000    0.000    0.000 runner.py:12(_WritelnDecorator)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
       20    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       20    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       38    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
